scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,ended
n-body,c,O3,external,16,11861764582,148.3638916015625,17.1240234375,,6.601318359375,,0,0,0,0,0,1761900554333361
n-body,c,O3,external,17,11861832939,148.58636474609375,17.317626953125,,6.6043701171875,,0,0,0,0,0,1761900566198590
n-body,c,O3,external,18,11863145672,148.48419189453125,17.22198486328125,,6.6025390625,,0,0,0,0,0,1761900578065161
n-body,c,O3,external,19,11861977629,148.457763671875,17.19842529296875,,6.601318359375,,0,0,0,0,0,1761900589930499
n-body,c,O3,external,20,11863783008,148.64886474609375,17.39599609375,,6.60198974609375,,0,0,0,0,0,1761900601797612
n-body,c,O3,external,21,11860584017,148.60186767578125,17.3480224609375,,6.60064697265625,,0,0,0,0,0,1761900613661682
n-body,c,O3,external,22,11526816702,144.3936767578125,16.8388671875,,6.41455078125,,0,0,0,0,0,1761900625191912
n-body,c,O3,external,23,11527631894,144.50390625,16.948486328125,,6.4151611328125,,0,0,0,0,0,1761900636722960
n-body,c,O3,external,24,11861889712,148.5875244140625,17.33135986328125,,6.60162353515625,,0,0,0,0,0,1761900648588278
n-body,c,O3,external,25,11862129274,148.56854248046875,17.30633544921875,,6.60101318359375,,0,0,0,0,0,1761900660453831
n-body,c,O3,external,26,11861156348,148.27850341796875,17.049072265625,,6.60015869140625,,0,0,0,0,0,1761900672318336
n-body,c,O3,external,27,11529246198,144.2747802734375,16.68310546875,,6.41619873046875,,0,0,0,0,0,1761900683850950
n-body,c,O3,external,28,11863308001,148.3624267578125,17.09661865234375,,6.60260009765625,,0,0,0,0,0,1761900695717774
n-body,c,O3,external,29,11528826484,144.146728515625,16.57928466796875,,6.41546630859375,,0,0,0,0,0,1761900707249994
n-body,c,O3,external,30,11527956662,144.3892822265625,16.82366943359375,,6.41558837890625,,0,0,0,0,0,1761900718781286
n-body,c,O3,external,31,11861465554,148.464111328125,17.22015380859375,,6.60137939453125,,0,0,0,0,0,1761900730646245
n-body,c,O3,external,32,11861497452,148.38018798828125,17.1346435546875,,6.6007080078125,,0,0,0,0,0,1761900742511195
n-body,c,O3,external,33,11860966176,148.5018310546875,17.27215576171875,,6.6021728515625,,0,0,0,0,0,1761900754375826
n-body,c,O3,external,34,11527284358,144.6890869140625,17.133544921875,,6.41583251953125,,0,0,0,0,0,1761900765906494
n-body,c,O3,external,35,11528792351,144.43560791015625,16.85089111328125,,6.4173583984375,,0,0,0,0,0,1761900777438647
n-body,c,O3,external,36,11862342565,148.5159912109375,17.26837158203125,,6.601806640625,,0,0,0,0,0,1761900789304411
n-body,c,O3,external,37,11863432040,148.87908935546875,17.61285400390625,,6.6025390625,,0,0,0,0,0,1761900801171286
n-body,c,O3,external,38,11861928532,148.66217041015625,17.393798828125,,6.60205078125,,0,0,0,0,0,1761900813036778
n-body,c,O3,external,39,11861355471,148.67132568359375,17.43719482421875,,6.6007080078125,,0,0,0,0,0,1761900824901578
n-body,c,O3,external,40,11859989691,148.73406982421875,17.49468994140625,,6.60009765625,,0,0,0,0,0,1761900836764917
n-body,c,O3,external,41,11527872876,144.70703125,17.13519287109375,,6.41485595703125,,0,0,0,0,0,1761900848296120
n-body,c,O3,external,42,11862307040,149.0482177734375,17.77862548828125,,6.6021728515625,,0,0,0,0,0,1761900860161844
n-body,c,O3,external,43,11862271978,148.95050048828125,17.7076416015625,,6.6033935546875,,0,0,0,0,0,1761900872027423
n-body,c,O3,external,44,11528178046,144.20904541015625,16.64398193359375,,6.4151611328125,,0,0,0,0,0,1761900883558957
n-body,c,O3,external,45,11528085724,144.2554931640625,16.68951416015625,,6.41558837890625,,0,0,0,0,0,1761900895090457
n-body,c,O3,external,46,11863834876,148.47906494140625,17.2041015625,,6.60406494140625,,0,0,0,0,0,1761900906957687
n-body,c,O3,external,47,11529235079,144.42266845703125,16.8543701171875,,6.41571044921875,,0,0,0,0,0,1761900918490605
n-body,c,O3,external,48,11527710284,144.5152587890625,16.96307373046875,,6.4151611328125,,0,0,0,0,0,1761900930021726
n-body,c,O3,external,49,11528595405,144.23724365234375,16.67486572265625,,6.4169921875,,0,0,0,0,0,1761900941553773
n-body,c,O3,external,50,11861361759,148.7757568359375,17.518798828125,,6.6009521484375,,0,0,0,0,0,1761900953418507
regex-redux,c,O3,internal,1,6215992865,84.9354248046875,16.1253662109375,,3.99200439453125,,0,0,0,0,0,1761901032430731
regex-redux,c,O3,internal,2,6493191005,88.32305908203125,16.44586181640625,,4.113037109375,,0,0,0,0,0,1761901038923973
regex-redux,c,O3,internal,3,6199724355,84.4290771484375,15.7958984375,,3.96588134765625,,0,0,0,0,0,1761901045123880
regex-redux,c,O3,internal,4,6267809486,85.32818603515625,15.94091796875,,4.0067138671875,,0,0,0,0,0,1761901051391709
regex-redux,c,O3,internal,5,6339971451,86.00592041015625,15.82073974609375,,4.04156494140625,,0,0,0,0,0,1761901057731704
regex-redux,c,O3,internal,6,6415555749,87.178955078125,16.16387939453125,,4.07244873046875,,0,0,0,0,0,1761901064147280
regex-redux,c,O3,internal,7,6307286836,86.0146484375,16.19586181640625,,4.0252685546875,,0,0,0,0,0,1761901070454546
regex-redux,c,O3,internal,8,6391175355,87.2286376953125,16.480224609375,,4.07781982421875,,0,0,0,0,0,1761901076845772
regex-redux,c,O3,internal,9,6376903038,86.77484130859375,16.18218994140625,,4.05889892578125,,0,0,0,0,0,1761901083222706
regex-redux,c,O3,internal,10,6166482336,83.87066650390625,15.597412109375,,3.94158935546875,,0,0,0,0,0,1761901089389200
regex-redux,c,O3,internal,11,6286752472,85.406494140625,15.81011962890625,,4.01214599609375,,0,0,0,0,0,1761901095675985
regex-redux,c,O3,internal,12,6200475701,84.34661865234375,15.70965576171875,,3.96759033203125,,0,0,0,0,0,1761901101876624
regex-redux,c,O3,internal,13,6270109164,85.13665771484375,15.7283935546875,,4.0010986328125,,0,0,0,0,0,1761901108146773
regex-redux,c,O3,internal,14,6310151984,85.76953125,15.91546630859375,,4.02752685546875,,0,0,0,0,0,1761901114456949
regex-redux,c,O3,internal,15,6289279108,85.5438232421875,15.925048828125,,4.00341796875,,0,0,0,0,0,1761901120746241
regex-redux,c,O3,internal,16,6298273402,85.91485595703125,16.19793701171875,,4.02606201171875,,0,0,0,0,0,1761901127044526
regex-redux,c,O3,internal,17,6445247307,87.7825927734375,16.438232421875,,4.107177734375,,0,0,0,0,0,1761901133489807
regex-redux,c,O3,internal,18,6405676932,87.38525390625,16.47052001953125,,4.08221435546875,,0,0,0,0,0,1761901139895463
regex-redux,c,O3,internal,19,6256036828,85.868408203125,16.61773681640625,,3.9959716796875,,0,0,0,0,0,1761901146151533
regex-redux,c,O3,internal,20,6277863155,86.19097900390625,16.708251953125,,4.0091552734375,,0,0,0,0,0,1761901152429598
regex-redux,c,O3,internal,21,6404199831,87.646240234375,16.7564697265625,,4.081787109375,,0,0,0,0,0,1761901158834023
regex-redux,c,O3,internal,22,6398162381,87.9461669921875,17.11956787109375,,4.066162109375,,0,0,0,0,0,1761901165232190
regex-redux,c,O3,internal,23,6329262008,86.3856201171875,16.32171630859375,,4.03955078125,,0,0,0,0,0,1761901171561395
regex-redux,c,O3,internal,24,6531307637,88.89471435546875,16.59918212890625,,4.1529541015625,,0,0,0,0,0,1761901178092809
regex-redux,c,O3,internal,25,6458717825,87.68359375,16.19384765625,,4.1119384765625,,0,0,0,0,0,1761901184551711
regex-redux,c,O3,internal,26,6607895840,89.39251708984375,16.254638671875,,4.19189453125,,0,0,0,0,0,1761901191159611
regex-redux,c,O3,internal,27,6587105517,89.3887939453125,16.4747314453125,,4.17327880859375,,0,0,0,0,0,1761901197746937
regex-redux,c,O3,internal,28,6360546888,86.67938232421875,16.2606201171875,,4.049072265625,,0,0,0,0,0,1761901204107466
regex-redux,c,O3,internal,29,6203194698,84.80792236328125,16.14337158203125,,3.96771240234375,,0,0,0,0,0,1761901210310710
regex-redux,c,O3,internal,30,6186886675,84.4744873046875,15.9959716796875,,3.95550537109375,,0,0,0,0,0,1761901216497600
regex-redux,c,O3,internal,31,6351232888,86.336669921875,16.031005859375,,4.05120849609375,,0,0,0,0,0,1761901222848872
regex-redux,c,O3,internal,32,6340472114,86.30975341796875,16.12640380859375,,4.03076171875,,0,0,0,0,0,1761901229189371
regex-redux,c,O3,internal,33,6421841041,86.939453125,15.84613037109375,,4.094970703125,,0,0,0,0,0,1761901235611418
regex-redux,c,O3,internal,34,6401490389,86.775146484375,15.9156494140625,,4.0755615234375,,0,0,0,0,0,1761901242012959
regex-redux,c,O3,internal,35,6364384662,86.4749755859375,16.024658203125,,4.0413818359375,,0,0,0,0,0,1761901248377365
regex-redux,c,O3,internal,36,6520739863,88.17950439453125,15.991943359375,,4.13238525390625,,0,0,0,0,0,1761901254898148
regex-redux,c,O3,internal,37,6274375062,85.28106689453125,15.828857421875,,4.00927734375,,0,0,0,0,0,1761901261172718
regex-redux,c,O3,internal,38,6514431319,88.216796875,16.0926513671875,,4.14306640625,,0,0,0,0,0,1761901267687347
regex-redux,c,O3,internal,39,6397264015,86.95758056640625,16.1427001953125,,4.0782470703125,,0,0,0,0,0,1761901274084768
regex-redux,c,O3,internal,40,6448838429,87.55322265625,16.1739501953125,,4.09100341796875,,0,0,0,0,0,1761901280533509
regex-redux,c,O3,internal,41,6492976097,87.83001708984375,15.9541015625,,4.1307373046875,,0,0,0,0,0,1761901287026618
regex-redux,c,O3,internal,42,6341061067,86.392822265625,16.19561767578125,,4.0311279296875,,0,0,0,0,0,1761901293367705
regex-redux,c,O3,internal,43,6318736273,85.9993896484375,16.0438232421875,,4.01812744140625,,0,0,0,0,0,1761901299686435
regex-redux,c,O3,internal,44,6610956271,89.381103515625,16.1976318359375,,4.1959228515625,,0,0,0,0,0,1761901306297515
regex-redux,c,O3,internal,45,6308792253,86.27197265625,16.427734375,,4.02789306640625,,0,0,0,0,0,1761901312606360
regex-redux,c,O3,internal,46,6320548690,86.44354248046875,16.48406982421875,,4.03436279296875,,0,0,0,0,0,1761901318927061
regex-redux,c,O3,internal,47,6594533277,89.76434326171875,16.77166748046875,,4.18988037109375,,0,0,0,0,0,1761901325521772
regex-redux,c,O3,internal,48,6367996550,86.46405029296875,15.96746826171875,,4.0487060546875,,0,0,0,0,0,1761901331889790
regex-redux,c,O3,internal,49,6485445275,88.2125244140625,16.410400390625,,4.13037109375,,0,0,0,0,0,1761901338375252
regex-redux,c,O3,internal,50,6457667857,87.68011474609375,16.185791015625,,4.1141357421875,,0,0,0,0,0,1761901344832949
regex-redux,c,O3,external,1,6346017471,86.3787841796875,16.1297607421875,,4.04840087890625,,0,0,0,0,0,1761901411808348
regex-redux,c,O3,external,2,6426871567,87.5528564453125,16.41839599609375,,4.09295654296875,,0,0,0,0,0,1761901418240272
regex-redux,c,O3,external,3,6514141746,88.6864013671875,16.5780029296875,,4.13751220703125,,0,0,0,0,0,1761901424759451
regex-redux,c,O3,external,4,6664325118,90.1671142578125,16.40008544921875,,4.22369384765625,,0,0,0,0,0,1761901431428898
regex-redux,c,O3,external,5,6294537054,85.50128173828125,15.82867431640625,,4.0189208984375,,0,0,0,0,0,1761901437728706
regex-redux,c,O3,external,6,6396875232,87.186279296875,16.3865966796875,,4.077880859375,,0,0,0,0,0,1761901444130742
regex-redux,c,O3,external,7,6314564279,85.990234375,16.08172607421875,,4.03143310546875,,0,0,0,0,0,1761901450449950
regex-redux,c,O3,external,8,6366751313,86.9998779296875,16.517578125,,4.05999755859375,,0,0,0,0,0,1761901456821851
regex-redux,c,O3,external,9,6492003049,88.4232177734375,16.55712890625,,4.13525390625,,0,0,0,0,0,1761901463318526
regex-redux,c,O3,external,10,6494803236,88.3392333984375,16.4334716796875,,4.11541748046875,,0,0,0,0,0,1761901469818362
regex-redux,c,O3,external,11,6239852436,85.4385986328125,16.36199951171875,,3.99127197265625,,0,0,0,0,0,1761901476063451
regex-redux,c,O3,external,12,6284856484,86.151611328125,16.58026123046875,,4.01776123046875,,0,0,0,0,0,1761901482352789
regex-redux,c,O3,external,13,6741171267,91.35015869140625,16.72747802734375,,4.27325439453125,,0,0,0,0,0,1761901489099038
regex-redux,c,O3,external,14,6617765239,89.92333984375,16.6619873046875,,4.18255615234375,,0,0,0,0,0,1761901495721376
regex-redux,c,O3,external,15,6416479650,87.57171630859375,16.5499267578125,,4.0948486328125,,0,0,0,0,0,1761901502143040
regex-redux,c,O3,external,16,6407686234,87.7989501953125,16.87615966796875,,4.0809326171875,,0,0,0,0,0,1761901508555863
regex-redux,c,O3,external,17,6457020778,88.1455078125,16.66845703125,,4.10662841796875,,0,0,0,0,0,1761901515017956
regex-redux,c,O3,external,18,6205872868,84.8687744140625,16.1685791015625,,3.96929931640625,,0,0,0,0,0,1761901521228974
regex-redux,c,O3,external,19,6162493318,84.1177978515625,15.906005859375,,3.9444580078125,,0,0,0,0,0,1761901527396737
regex-redux,c,O3,external,20,6317315192,86.14019775390625,16.21044921875,,4.0306396484375,,0,0,0,0,0,1761901533718791
regex-redux,c,O3,external,21,6201549835,84.80303955078125,16.15283203125,,3.9534912109375,,0,0,0,0,0,1761901539925369
regex-redux,c,O3,external,22,6432959408,87.63726806640625,16.42486572265625,,4.09503173828125,,0,0,0,0,0,1761901546363532
regex-redux,c,O3,external,23,6429272042,87.4117431640625,16.2435302734375,,4.095458984375,,0,0,0,0,0,1761901552798123
regex-redux,c,O3,external,24,6391945354,87.35107421875,16.5889892578125,,4.07012939453125,,0,0,0,0,0,1761901559195203
regex-redux,c,O3,external,25,6425495500,87.57110595703125,16.44964599609375,,4.0889892578125,,0,0,0,0,0,1761901565625821
regex-redux,c,O3,external,26,6291377516,85.81097412109375,16.16595458984375,,4.0054931640625,,0,0,0,0,0,1761901571921705
regex-redux,c,O3,external,27,6333025931,86.45355224609375,16.34881591796875,,4.0418701171875,,0,0,0,0,0,1761901578259352
regex-redux,c,O3,external,28,6377780343,87.15869140625,16.569580078125,,4.06292724609375,,0,0,0,0,0,1761901584641799
regex-redux,c,O3,external,29,6339873387,86.669921875,16.4835205078125,,4.045166015625,,0,0,0,0,0,1761901590986208
regex-redux,c,O3,external,30,6533126768,88.862060546875,16.54296875,,4.15643310546875,,0,0,0,0,0,1761901597523995
regex-redux,c,O3,external,31,6380060566,87.15966796875,16.53594970703125,,4.06329345703125,,0,0,0,0,0,1761901603909366
regex-redux,c,O3,external,32,6537176788,88.4864501953125,16.1240234375,,4.15399169921875,,0,0,0,0,0,1761901610451569
regex-redux,c,O3,external,33,6292099961,85.58807373046875,15.932373046875,,4.0013427734375,,0,0,0,0,0,1761901616748286
regex-redux,c,O3,external,34,6345851821,86.40887451171875,16.1551513671875,,4.04156494140625,,0,0,0,0,0,1761901623099262
regex-redux,c,O3,external,35,6560076815,89.15618896484375,16.539306640625,,4.1689453125,,0,0,0,0,0,1761901629664614
regex-redux,c,O3,external,36,6401762157,87.11358642578125,16.2415771484375,,4.0657958984375,,0,0,0,0,0,1761901636071530
regex-redux,c,O3,external,37,6627805199,89.65234375,16.2769775390625,,4.19793701171875,,0,0,0,0,0,1761901642704408
regex-redux,c,O3,external,38,6262665789,85.54327392578125,16.224365234375,,4.00238037109375,,0,0,0,0,0,1761901648971586
regex-redux,c,O3,external,39,6458015833,87.7086181640625,16.21612548828125,,4.097412109375,,0,0,0,0,0,1761901655434869
regex-redux,c,O3,external,40,6442273200,88.05914306640625,16.74749755859375,,4.10174560546875,,0,0,0,0,0,1761901661882283
regex-redux,c,O3,external,41,6280424783,85.9774169921875,16.45623779296875,,4.01446533203125,,0,0,0,0,0,1761901668167912
regex-redux,c,O3,external,42,6310411826,86.45843505859375,16.60736083984375,,4.0189208984375,,0,0,0,0,0,1761901674482956
regex-redux,c,O3,external,43,6306322210,86.2841796875,16.47540283203125,,4.02606201171875,,0,0,0,0,0,1761901680794347
regex-redux,c,O3,external,44,6282537945,86.032958984375,16.47869873046875,,4.01629638671875,,0,0,0,0,0,1761901687082247
regex-redux,c,O3,external,45,6654082441,90.23797607421875,16.5758056640625,,4.2183837890625,,0,0,0,0,0,1761901693741536
regex-redux,c,O3,external,46,6357003148,86.61126708984375,16.2398681640625,,4.05487060546875,,0,0,0,0,0,1761901700103706
regex-redux,c,O3,external,47,6376702655,86.876953125,16.28265380859375,,4.06903076171875,,0,0,0,0,0,1761901706485538
regex-redux,c,O3,external,48,6344682304,86.414794921875,16.172119140625,,4.03570556640625,,0,0,0,0,0,1761901712835447
regex-redux,c,O3,external,49,6278992842,85.70440673828125,16.194091796875,,4.01251220703125,,0,0,0,0,0,1761901719119447
regex-redux,c,O3,external,50,6407470699,87.5823974609375,16.65692138671875,,4.08416748046875,,0,0,0,0,0,1761901725532270
mandelbrot,c,O3,internal,1,6020530462,83.66131591796875,17.0511474609375,,3.37872314453125,,0,0,0,0,0,1761901797669363
mandelbrot,c,O3,internal,2,6163024241,85.41864013671875,17.22247314453125,,3.46087646484375,,0,0,0,0,0,1761901803832421
