scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,cache_misses,branch_misses,ended
fasta,c,O3,external,31,274242421,10.790283203125,7.7581787109375,,0.16766357421875,,752168,592,46,1761751019144903
fasta,c,O3,external,32,278198059,10.76641845703125,7.68304443359375,,0.16741943359375,,734722,288,26,1761751019538842
fasta,c,O3,external,33,274048689,10.5718994140625,7.5316162109375,,0.16510009765625,,733066,486,42,1761751019929190
fasta,c,O3,external,34,278681391,10.84722900390625,7.77880859375,,0.16741943359375,,735552,295,28,1761751020326647
fasta,c,O3,external,35,278452370,10.830322265625,7.75653076171875,,0.16748046875,,746966,343,38,1761751020721783
fasta,c,O3,external,36,274313612,10.48876953125,7.46099853515625,,0.16485595703125,,757638,745,48,1761751021117097
fasta,c,O3,external,37,274342888,10.50439453125,7.4681396484375,,0.1654052734375,,757633,492,36,1761751021508654
fasta,c,O3,external,38,274763553,10.752197265625,7.6937255859375,,0.16864013671875,,771971,828,335,1761751021900908
fasta,c,O3,external,39,279677602,10.9114990234375,7.79412841796875,,0.1688232421875,,758883,313,82,1761751022299779
fasta,c,O3,external,40,277123087,10.980224609375,7.9091796875,,0.16943359375,,769746,736,104,1761751022694290
fasta,c,O3,external,41,272997665,10.62786865234375,7.59796142578125,,0.16546630859375,,752830,565,44,1761751023084306
fasta,c,O3,external,42,272392098,10.28167724609375,7.27508544921875,,0.16448974609375,,740415,568,71,1761751023485975
fasta,c,O3,external,43,273240008,10.45660400390625,7.43084716796875,,0.16510009765625,,751929,572,61,1761751023876166
fasta,c,O3,external,44,279046071,10.98724365234375,7.89398193359375,,0.17034912109375,,779898,550,100,1761751024271836
fasta,c,O3,external,45,276124475,10.76708984375,7.706298828125,,0.16619873046875,,754757,314,34,1761751024666353
fasta,c,O3,external,46,277620546,10.814453125,7.719482421875,,0.167724609375,,757233,308,25,1761751025059972
fasta,c,O3,external,47,273665354,10.52911376953125,7.51983642578125,,0.164306640625,,740225,555,273,1761751025452482
fasta,c,O3,external,48,277203271,10.82025146484375,7.75140380859375,,0.16656494140625,,730362,340,36,1761751025845965
fasta,c,O3,external,49,278306637,10.8466796875,7.7674560546875,,0.16754150390625,,733186,308,26,1761751026240415
fasta,c,O3,external,50,272379363,10.525146484375,7.515625,,0.16424560546875,,748544,539,654,1761751026631099
n-body,c,O3,internal,1,2091119053,91.7200927734375,68.58355712890625,,1.16595458984375,,5453313,159,142,1761751089015583
n-body,c,O3,internal,2,2108491971,93.0980224609375,69.78167724609375,,1.174072265625,,5515136,108,123,1761751091124090
