language,scenario,time_mean,time_cv%,pkg_mean,pkg_cv%,cores_mean,cores_cv%,gpu_mean,gpu_cv%,ram_mean,ram_cv%,psys_mean,psys_cv%,cycles_mean,cycles_cv%,l1d_misses_mean,l1d_misses_cv%,l1i_misses_mean,l1i_misses_cv%,llc_misses_mean,llc_misses_cv%,branch_misses_mean,branch_misses_cv%,c1_core_residency_mean,c1_core_residency_cv%,c3_core_residency_mean,c3_core_residency_cv%,c6_core_residency_mean,c6_core_residency_cv%,c7_core_residency_mean,c7_core_residency_cv%,c2_pkg_residency_mean,c2_pkg_residency_cv%,c3_pkg_residency_mean,c3_pkg_residency_cv%,c6_pkg_residency_mean,c6_pkg_residency_cv%,c8_pkg_residency_mean,c8_pkg_residency_cv%,c10_pkg_residency_mean,c10_pkg_residency_cv%
java,k-nucleotide,7327030.583,73.365,107.047,71.057,25.942,63.922,0.0,0.0,4.785,63.001,0.0,0.0,35082381493.733,73.381,289852481.15,21.074,75830318.85,15.793,1609876.367,3.248,118068231.7,13.791,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,mandelbrot,10562882.667,0.196,154.638,0.208,37.732,0.497,0.0,0.0,5.988,0.199,0.0,0.0,50579453923.85,0.196,69123603.95,1.369,41519556.217,2.457,510173.383,2.456,19135972.783,8.95,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,matrix-multiplication,43891731.15,0.197,611.185,0.197,125.231,0.203,0.0,0.0,24.483,0.194,0.0,0.0,35033520727.367,0.197,1038730006.2,0.036,14978840.233,2.388,239872.467,1.792,6069048.517,2.995,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,n-body,20647771.883,1.044,287.499,1.043,58.893,1.043,0.0,0.0,11.549,1.063,0.0,0.0,16480485508.1,1.044,10896544.967,15.526,18213966.367,18.52,237199.3,1.62,3568110.033,9.391,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,pidigits,4869879.9,1.488,67.824,1.482,13.909,1.464,0.0,0.0,2.757,1.471,0.0,0.0,3886735906.983,1.489,351784842.917,1.366,36472062.433,2.977,259012.383,1.315,11151651.833,1.364,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,polynomial-evaluation,11052307.05,0.513,152.079,0.759,29.73,2.989,0.0,0.0,6.187,0.523,0.0,0.0,8821500050.933,0.513,7331502.267,3.816,11057754.333,5.489,219941.617,2.492,3326633.817,2.777,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,regex-redux,7587255.667,0.281,110.42,0.302,26.393,0.66,0.0,0.0,4.998,0.264,0.0,0.0,36328827432.45,0.281,127204407.483,2.093,78594825.783,1.66,2191795.583,1.149,208281338.967,0.268,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,reverse-complement,915572.433,0.946,12.933,0.892,2.789,1.007,0.0,0.0,0.666,0.912,0.0,0.0,4377169024.7,0.948,15838423.117,1.555,22307746.467,2.253,596778.317,2.35,4268608.583,2.117,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,spectral-norm,2135672.533,0.838,32.442,0.902,8.811,1.604,0.0,0.0,1.241,0.885,0.0,0.0,10220371198.917,0.838,174800984.85,0.272,28799257.317,2.693,285217.933,4.486,4822645.183,2.836,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0

