mode,language,scenario,time_mean,time_cv%,pkg_mean,pkg_cv%,cores_mean,cores_cv%,gpu_mean,gpu_cv%,ram_mean,ram_cv%,psys_mean,psys_cv%,cycles_mean,cycles_cv%,l1d_misses_mean,l1d_misses_cv%,l1i_misses_mean,l1i_misses_cv%,llc_misses_mean,llc_misses_cv%,branch_misses_mean,branch_misses_cv%,c1_core_residency_mean,c1_core_residency_cv%,c3_core_residency_mean,c3_core_residency_cv%,c6_core_residency_mean,c6_core_residency_cv%,c7_core_residency_mean,c7_core_residency_cv%,c2_pkg_residency_mean,c2_pkg_residency_cv%,c3_pkg_residency_mean,c3_pkg_residency_cv%,c6_pkg_residency_mean,c6_pkg_residency_cv%,c8_pkg_residency_mean,c8_pkg_residency_cv%,c10_pkg_residency_mean,c10_pkg_residency_cv%
internal,c,spectral-norm,138693.233,2.316,15.48,1.314,13.998,1.247,0.0,0.0,0.08,4.013,0.0,0.0,6799655518.767,1.739,86807758.617,1.028,1692040.85,26.566,22057.083,71.137,452502.3,16.209,0.0,0.0,204376.0,152.625,5677196.267,36.171,8249196.267,44.356,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,binary-trees,2056915.733,0.798,83.702,1.419,60.837,1.887,0.0,0.0,1.703,1.665,0.0,0.0,9815304665.167,3.016,208334205.6,1.895,40348433.833,5.115,3405669.667,7.765,7264828.05,19.27,0.0,0.0,57989864.0,14.98,1423310592.0,12.29,30079938181.867,1.26,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,fannkuch-redux,3119909.233,0.841,363.536,0.416,329.004,0.376,0.0,0.0,1.794,2.306,0.0,0.0,151522036155.483,0.273,18688284.233,27.174,33054582.867,5.847,508671.067,54.263,2645725484.467,0.159,0.0,0.0,1855073.6,75.494,59583813.333,53.439,552102099.733,54.556,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,fasta,197720.817,2.947,13.782,3.143,11.624,3.803,0.0,0.0,0.137,8.556,0.0,0.0,3212272583.967,3.905,14798438.033,11.777,13647609.733,5.825,147810.7,66.503,56049294.617,1.062,0.0,0.0,15134336.0,28.637,418921574.933,8.328,969364799.467,8.218,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,k-nucleotide,491679.633,3.45,39.279,1.747,33.788,1.827,0.0,0.0,0.625,4.194,0.0,0.0,13766925557.083,1.279,283617036.6,1.13,11785479.783,9.839,1875418.517,12.013,25892553.867,3.925,0.0,0.0,19826167.467,29.429,733502414.4,10.222,2808571885.333,8.68,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,mandelbrot,1251471.55,1.094,140.492,0.728,126.666,0.695,0.0,0.0,0.753,4.501,0.0,0.0,58869039095.65,0.616,41681702.167,12.071,13737238.433,12.107,438636.75,59.034,41381664.483,4.262,0.0,0.0,400082.667,191.316,11537252.8,71.729,74747412.8,117.746,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,n-body,1877829.667,0.756,75.053,1.409,54.302,1.949,0.0,0.0,1.078,2.661,0.0,0.0,8871732065.267,3.252,9218924.883,55.558,33409338.733,5.742,368930.433,80.455,4413506.65,36.471,0.0,0.0,51883188.267,23.923,1135979970.667,13.138,27739799022.933,1.048,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,pidigits,513182.133,2.952,19.876,3.199,14.232,4.493,0.0,0.0,0.295,6.41,0.0,0.0,2376214386.783,7.079,193428520.5,1.598,9618911.533,13.27,113511.95,166.579,2074821.4,46.878,0.0,0.0,13846520.533,32.494,326737734.4,27.327,7498378473.6,3.706,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,regex-redux,1113038.333,2.044,75.666,0.83,63.28,0.916,0.0,0.0,1.125,1.895,0.0,0.0,17993498366.983,1.47,91053780.783,3.201,25648672.917,5.815,1798474.2,8.726,196552368.25,0.636,0.0,0.0,27402949.333,32.408,792808131.2,16.345,10154406825.6,3.545,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,reverse-complement,85614.983,10.75,3.381,4.653,2.444,7.495,0.0,0.0,0.119,5.626,0.0,0.0,473807483.267,4.699,8446915.8,1.728,3454344.7,11.06,849796.167,2.63,466330.217,10.9,0.0,0.0,7426431.467,59.176,326845990.4,11.719,793063493.867,15.827,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
